epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.51903,0.51525,0.84091,1,0.47937,0.00010002,0.00010002,0.00010002
2,11.5887,0.29406,0.97727,1,0.1825,0.000212419,0.000212419,0.000212419
3,15.5478,0.15255,0.97727,1,0.08743,0.000320197,0.000320197,0.000320197
4,19.1791,0.05865,0.93182,1,0.22939,0.000423355,0.000423355,0.000423355
5,24.2801,0.10067,0.93182,1,0.18466,0.000521891,0.000521891,0.000521891
6,27.9411,0.03324,0.93182,1,0.13484,0.000615806,0.000615806,0.000615806
7,31.859,0.01962,0.88636,1,0.15399,0.000705101,0.000705101,0.000705101
8,36.8365,0.01636,1,1,0.02776,0.000789775,0.000789775,0.000789775
9,40.8811,0.01195,1,1,0.00041,0.000869827,0.000869827,0.000869827
10,44.6318,0.00372,1,1,0.01483,0.000945259,0.000945259,0.000945259
11,50.0819,0.07221,1,1,0.00067,0.00101607,0.00101607,0.00101607
12,53.8091,0.0238,1,1,0.0044,0.00108226,0.00108226,0.00108226
13,57.8465,0.04784,1,1,0.00096,0.00114383,0.00114383,0.00114383
14,63.1897,0.00875,1,1,0.0016,0.00120078,0.00120078,0.00120078
15,67.0987,0.03962,1,1,0.00165,0.00120491,0.00120491,0.00120491
16,70.6937,0.00347,1,1,0.0019,0.0011719,0.0011719,0.0011719
17,76.0038,0.02414,1,1,0.00119,0.00113889,0.00113889,0.00113889
18,80.0226,0.01375,1,1,0.00022,0.00110589,0.00110589,0.00110589
19,84.1447,0.00586,1,1,0.00068,0.00107288,0.00107288,0.00107288
20,88.5346,0.00606,1,1,0.00044,0.00103987,0.00103987,0.00103987
21,93.3659,0.00349,1,1,0.00015,0.00100687,0.00100687,0.00100687
22,96.9842,0.01995,1,1,0.00014,0.000973861,0.000973861,0.000973861
23,101.076,0.01421,1,1,0.00539,0.000940855,0.000940855,0.000940855
24,106.006,0.13361,1,1,0.00538,0.000907848,0.000907848,0.000907848
25,110.111,0.02365,1,1,0.00163,0.000874842,0.000874842,0.000874842
26,114.006,0.00138,1,1,0.00018,0.000841835,0.000841835,0.000841835
27,119.2,0.0201,1,1,0.00041,0.000808828,0.000808828,0.000808828
28,122.94,0.03572,1,1,0.00599,0.000775822,0.000775822,0.000775822
29,127.041,0.00326,1,1,0.01045,0.000742815,0.000742815,0.000742815
30,132.049,0.00226,1,1,0.00649,0.000709809,0.000709809,0.000709809
31,136.184,0.02398,1,1,0.00392,0.000676802,0.000676802,0.000676802
32,139.962,0.02802,1,1,0.00013,0.000643795,0.000643795,0.000643795
33,145.131,0.02296,1,1,5e-05,0.000610789,0.000610789,0.000610789
34,148.741,0.00294,1,1,3e-05,0.000577782,0.000577782,0.000577782
35,152.858,0.00185,1,1,8e-05,0.000544776,0.000544776,0.000544776
36,157.804,0.00718,1,1,0.00019,0.000511769,0.000511769,0.000511769
37,163.883,0.00836,1,1,0.00062,0.000478762,0.000478762,0.000478762
38,167.606,0.01144,1,1,0.00067,0.000445756,0.000445756,0.000445756
39,172.899,0.00615,1,1,0.00082,0.000412749,0.000412749,0.000412749
40,176.708,0.01306,1,1,0.00055,0.000379743,0.000379743,0.000379743
41,182.812,0.00793,1,1,0.00033,0.000346736,0.000346736,0.000346736
42,187.578,0.00043,1,1,0.00049,0.000313729,0.000313729,0.000313729
43,191.581,0.00121,1,1,0.00019,0.000280723,0.000280723,0.000280723
44,195.533,0.02395,1,1,4e-05,0.000247716,0.000247716,0.000247716
45,200.851,0.00146,1,1,9e-05,0.00021471,0.00021471,0.00021471
46,204.56,0.02573,1,1,6e-05,0.000181703,0.000181703,0.000181703
47,208.901,0.00604,1,1,5e-05,0.000148696,0.000148696,0.000148696
48,213.978,0.00421,1,1,4e-05,0.00011569,0.00011569,0.00011569
49,218.032,0.0049,1,1,8e-05,8.26832e-05,8.26832e-05,8.26832e-05
50,221.824,0.01628,1,1,7e-05,4.96766e-05,4.96766e-05,4.96766e-05
