               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082194,            0.029014,            0.021176,                   0,                   0,                   0,                   0,            0.037215,            0.024302,           0.0094674,              0.0982,              0.0002,              0.0002
                   1,            0.081483,            0.027011,            0.021869,                   0,                   0,                   0,                   0,            0.033824,            0.023563,           0.0093659,             0.09549,           0.0004901,           0.0004901
                   2,             0.09091,            0.028549,            0.024902,           0.0016667,               0.125,           0.0018833,          0.00053977,            0.026228,            0.023437,           0.0092202,            0.092768,          0.00076832,          0.00076832
                   3,             0.08716,            0.030514,            0.021896,           0.0030769,                0.25,           0.0055442,           0.0018395,            0.019083,            0.023046,           0.0091027,            0.090035,           0.0010347,           0.0010347
                   4,            0.076619,             0.03257,             0.02185,           0.0030864,               0.375,           0.0065078,           0.0020147,            0.016896,            0.021707,           0.0091595,            0.087289,           0.0012891,           0.0012891
                   5,            0.056019,            0.027946,            0.017582,            0.003012,               0.375,           0.0094769,           0.0036769,             0.01673,            0.020847,           0.0091716,            0.084532,           0.0015317,           0.0015317
                   6,            0.066463,            0.032461,            0.020074,           0.0030441,                 0.5,            0.023361,            0.010205,              0.0169,            0.019615,           0.0091114,            0.081762,           0.0017624,           0.0017624
                   7,            0.052573,            0.027933,            0.017584,           0.0030166,                 0.5,            0.052368,            0.021216,            0.016168,            0.019247,           0.0092358,            0.078981,           0.0019812,           0.0019812
                   8,            0.065866,            0.029156,            0.020304,           0.0031144,                0.75,             0.18915,            0.090499,            0.015143,            0.017805,           0.0092754,            0.076188,           0.0021882,           0.0021882
                   9,            0.069121,            0.031308,            0.025245,           0.0028409,               0.375,             0.14624,            0.073397,            0.014393,            0.017351,           0.0093231,            0.073383,           0.0023832,           0.0023832
                  10,            0.081038,            0.029343,            0.020685,           0.0032403,                   1,              0.4212,             0.17944,            0.014437,            0.016129,           0.0092596,            0.070566,           0.0025664,           0.0025664
                  11,            0.041495,            0.027591,            0.015298,            0.012529,                   1,             0.43606,             0.17633,            0.015855,            0.015486,           0.0090407,            0.067738,           0.0027377,           0.0027377
                  12,            0.041594,            0.026586,            0.015918,               0.597,                 0.5,              0.6575,             0.26948,            0.016978,            0.014248,           0.0091277,            0.064897,           0.0028971,           0.0028971
                  13,            0.046651,            0.022557,            0.015516,             0.64396,               0.375,             0.29617,             0.10891,             0.02271,            0.013174,           0.0093293,            0.062045,           0.0030447,           0.0030447
                  14,            0.042316,            0.025194,            0.014823,             0.71573,                 0.5,             0.81444,             0.30028,            0.017032,            0.013155,           0.0095286,             0.05918,           0.0031803,           0.0031803
                  15,            0.046018,            0.022685,            0.017127,             0.71181,             0.46252,             0.49631,             0.21845,            0.019198,            0.012286,           0.0096438,            0.056304,           0.0033041,           0.0033041
                  16,            0.040121,            0.022236,            0.015427,             0.85456,                0.25,              0.4862,             0.18427,            0.021233,            0.011071,            0.010045,            0.053416,            0.003416,            0.003416
                  17,            0.046555,            0.020316,            0.021571,             0.89695,             0.48476,             0.56464,             0.24302,            0.014558,            0.011192,           0.0097787,            0.050516,            0.003516,            0.003516
                  18,            0.041543,            0.023534,            0.017379,              0.9497,                0.25,             0.46143,             0.16542,            0.019373,            0.010457,           0.0093829,            0.047604,           0.0036042,           0.0036042
